ident,iata_code,name,type,latitude_deg,longitude_deg,elevation_ft
VT76,,Little Goose Farm Airport,small_airport,44.10441,-72.978404,1294.0
VT8,,Shelburne Airport,small_airport,44.359451,-73.226194,325.0
VT80,,Monument Farms Dairy Bittersweet Falls Road Heliport,heliport,44.036531,-73.213869,394.0
VT88,,VTPAD Heliport,heliport,44.058938,-73.019483,1908.0
VT96,,Mansfield Heliflight Inc Heliport,heliport,44.600117,-73.16505,175.0
VTA,,Victoria Airport,small_airport,14.9344,-87.394,1200.0
VTBD,DMK,Don Mueang International Airport,large_airport,13.9126,100.607002,9.0
VTBE,,Pak Phreaw Heliport,heliport,14.50821,100.919005,46.0
VTBH,,Sa Pran Nak Airport,small_airport,14.9494,100.642998,95.0
VTBI,,Khao E To Airport,small_airport,14.0778,101.379997,80.0
VTBK,KDT,Kamphaeng Saen Airport,medium_airport,14.1020002365,99.9171981812,30.0
VTBL,KKM,Khok Kathiam Airport,medium_airport,14.87462,100.663397,123.0
VTBN,,Prachuap Khiri Khan Airport,small_airport,12.417200088500977,99.86940002441406,
VTBO,TDX,Trat Airport,medium_airport,12.2746,102.319,105.0
VTBP,,Prachuap Airport,small_airport,11.7884,99.804703,10.0
VTBS,BKK,Suvarnabhumi Airport,large_airport,13.6811,100.747002,5.0
VTBT,,Bang Phra Airport,small_airport,13.232426,100.956802,90.0
VTBU,UTP,U-Tapao–Rayong–Pattaya International Airport,large_airport,12.6799,101.004997,42.0
VTBV,,Koh Takian Airport,small_airport,12.254042,102.518522,-1.0
VTBW,,Watthana Nakhon Airport,small_airport,13.769203,102.316017,200.0
VTCB,,Chiang Kham Airport,closed,19.5,100.282997,1272.0
VTCC,CNX,Chiang Mai International Airport,large_airport,18.7667999268,98.962600708,1036.0
VTCH,HGN,Mae Hong Son Airport,medium_airport,19.3013,97.9758,929.0
VTCI,PYY,Pai Airport,small_airport,19.372054,98.435904,1676.0
VTCL,LPT,Lampang Airport,medium_airport,18.27090072631836,99.50420379638672,811.0
VTCN,NNT,Nan Airport,medium_airport,18.807899475097656,100.78299713134766,685.0
VTCO,,Lamphun Airport,small_airport,18.548986,99.012426,925.0
VTCP,PRH,Phrae Airport,medium_airport,18.1322,100.165001,538.0
VTCS,,Mae Sariang Airport,small_airport,18.180962,97.930627,750.0
VTCT,CEI,Mae Fah Luang - Chiang Rai International Airport,large_airport,19.952299,99.882896,1280.0
VTCY,,Nok Airfield,small_airport,18.6762,99.11157,983.0
VTED,,Udorn Air Base,small_airport,17.382999,102.800003,591.0
VTPB,PHY,Phetchabun Airport,medium_airport,16.6760005951,101.194999695,450.0
VTPH,HHQ,Hua Hin Airport,medium_airport,12.6361999512,99.951499939,62.0
VTPI,TKH,Takhli Royal Thai Air Force Base,medium_airport,15.2773,100.295998,107.0
VTPL,,Sak Long Airport,small_airport,16.824057,101.251244,500.0
VTPM,MAQ,Mae Sot Airport,medium_airport,16.699899673461914,98.54509735107422,690.0
VTPN,,Nakhon Sawan Airport,small_airport,15.673,100.137001,113.0
VTPO,THS,Sukhothai Airport,medium_airport,17.238000869750977,99.81819915771484,179.0
VTPP,PHS,Phitsanulok Airport,medium_airport,16.7829,100.278999,154.0
VTPR,,Photharam Airport,small_airport,13.6686,99.7314,88.0
VTPT,TKT,Tak Airport,medium_airport,16.896,99.253304,478.0
VTPU,,Uttaradit Airport,closed,17.67371,100.235267,262.0
VTPY,,Khunan Phumipol Airport,small_airport,17.2342,99.057899,492.0
VTSA,,Khoun Khan Airport,small_airport,6.6614,100.080002,18.0
VTSB,URT,Surat Thani Airport,medium_airport,9.13259983063,99.135597229,20.0
VTSC,NAW,Narathiwat Airport,medium_airport,6.519919872283936,101.74299621582033,16.0
VTSE,CJM,Chumphon Airport,medium_airport,10.7112,99.361702,18.0
VTSF,NST,Nakhon Si Thammarat Airport,medium_airport,8.539620399475098,99.9447021484375,13.0
VTSG,KBV,Krabi International Airport,large_airport,8.095591,98.988955,82.0
VTSH,SGZ,Songkhla Airport,medium_airport,7.186560153961182,100.60800170898438,12.0
VTSK,PAN,Pattani Airport,medium_airport,6.78546,101.153999,8.0
VTSM,USM,Samui International Airport,large_airport,9.54779,100.061996,64.0
VTSN,,Cha Eian Airport,medium_airport,8.47115,99.955597,44.0
VTSP,HKT,Phuket International Airport,large_airport,8.113257,98.3174,82.0
VTSR,UNN,Ranong Airport,medium_airport,9.77762,98.585503,57.0
VTSS,HDY,Hat Yai International Airport,large_airport,6.93321,100.392998,90.0
VTST,TST,Trang Airport,medium_airport,7.50874,99.6166,67.0
VTSW,,Phuket Airpark,small_airport,8.018733,98.40291,20.0
VTUD,UTH,Udon Thani International Airport,large_airport,17.386186,102.788577,579.0
VTUI,SNO,Sakon Nakhon Airport,medium_airport,17.195100784301758,104.11900329589844,529.0
VTUJ,PXR,Surin Airport,medium_airport,14.868300437927,103.49800109863,478.0
VTUK,KKC,Khon Kaen Airport,medium_airport,16.466600418099997,102.783996582,670.0
VTUL,LOE,Loei Airport,medium_airport,17.43910026550293,101.72200012207033,860.0
VTUN,,Khorat Airport,small_airport,14.934713,102.078945,729.0
VTUO,BFV,Buri Ram Airport,medium_airport,15.2295,103.252998,590.0
VTUQ,NAK,Nakhon Ratchasima Airport,medium_airport,14.9495,102.313004,765.0
VTUR,,Rob Muang Airport,small_airport,16.0704,103.646004,459.0
VTUU,UBP,Ubon Ratchathani Airport,medium_airport,15.2512998581,104.870002747,406.0
VTUV,ROI,Roi Et Airport,medium_airport,16.1168,103.774002,451.0
VTUW,KOP,Nakhon Phanom Airport,medium_airport,17.383801,104.642998,587.0
VTUZ,,Nam Phung Dam Airport,small_airport,16.65220069885254,102.96700286865234,
VU-0001,,Turtle Bay Airfield,closed,-15.377557,167.179473,58.0
VU-0002,,Luganville Airfield,closed,-15.5155,167.1319,484.0
VU-0003,,Palikulo Bay Airfield,closed,-15.5016,167.2458,43.0
VU-0004,,Luganville Seaplane Base,closed,-15.555,167.147,0.0
VU-0005,,Quoin Hill Airfield,closed,-17.540001,168.442001,16.0
VUU,VUU,Mvuu Camp Airport,small_airport,-14.838611,35.301389,1600.0
VV02,,Bien Hoa Air Base,small_airport,10.9766998291,106.818000793,79.0
VV03,,Haiphong Kien An Airport,small_airport,20.8034,106.605003,50.0
VVBM,BMV,Buon Ma Thuot Airport,medium_airport,12.668299675,108.120002747,1729.0
VVCA,VCL,Chu Lai Airport,small_airport,15.4033,108.706001,10.0
VVCI,HPH,Cat Bi International Airport,large_airport,20.817428,106.724315,6.0
VVCM,CAH,Cà Mau Airport,medium_airport,9.177667,105.177778,6.0
VVCR,CXR,Cam Ranh International Airport / Cam Ranh Air Base,large_airport,11.9982,109.219002,40.0
VVCS,VCS,Con Dao Airport,medium_airport,8.73183,106.633003,20.0
VVCT,VCA,Can Tho International Airport,large_airport,10.083397,105.709371,9.0
VVDB,DIN,Dien Bien Phu Airport,medium_airport,21.3974990845,103.008003235,1611.0
VVDH,VDH,Dong Hoi Airport,medium_airport,17.515,106.590556,59.0
VVDL,DLI,Lien Khuong Airport,medium_airport,11.750556,108.366997,3156.0
VVDN,DAD,Da Nang International Airport,large_airport,16.0439,108.198997,33.0
VVGL,,Gia Lam Air Base,medium_airport,21.040501,105.886002,50.0
VVKP,,Kep Air Base,small_airport,21.3946,106.261002,55.0
VVN,VVN,Las Malvinas/Echarate Airport,small_airport,-11.854861,-72.939332,1285.0
VVNB,HAN,Noi Bai International Airport,large_airport,21.221201,105.806999,39.0
VVNS,SQH,Na San Airport,small_airport,21.215301,104.032803,2133.0
VVPB,HUI,Phu Bai International Airport,large_airport,16.400581,107.704094,48.0
VVPC,UIH,Phu Cat Airport,medium_airport,13.955,109.042,80.0
VVPK,PXU,Pleiku Airport,medium_airport,14.00450038909912,108.01699829101562,2434.0
VVPQ,PQC,Phú Quốc International Airport,large_airport,10.169783,103.99353,37.0
VVPR,PHA,Phan Rang Airport,small_airport,11.6335,108.952003,101.0
VVRG,VKG,Rach Gia Airport,medium_airport,9.95802997234,105.132379532,7.0
VVTH,TBB,Dong Tac Airport,medium_airport,13.0496,109.334,20.0
VVTS,SGN,Tan Son Nhat International Airport,large_airport,10.8188,106.652,33.0
VVTX,THD,Tho Xuan Airport,small_airport,19.901667,105.467778,59.0
VVVD,VDO,Van Don International Airport,medium_airport,21.120693,107.41539,24.0
VVVH,VII,Vinh Airport,medium_airport,18.7376003265,105.67099762,23.0
VVVT,VTG,Vung Tau Airport,small_airport,10.375093,107.096185,13.0
VY02,,New Magway Airport,small_airport,20.153600692749023,94.96869659423828,279.0
VYAN,VBA,Ann Airport,small_airport,19.769199,94.0261,74.0
VYAS,,Anisakan Airport,small_airport,21.9554,96.406097,3000.0
VYBG,NYU,Bagan Airport,small_airport,21.178800582885746,94.9301986694336,312.0
VYBM,BMO,Banmaw Airport,small_airport,24.27044,97.2476,370.0
VYBP,VBP,Bokpyinn Airport,small_airport,11.1494,98.735901,100.0
VYCI,,Coco Island Airport,small_airport,14.137964,93.367853,20.0
VYCZ,VBC,Chanmyathazi Airport,small_airport,21.9405,96.0896,252.0
VYDW,TVY,Dawei Airport,medium_airport,14.1039,98.203598,84.0
VYFS,SRU,Surbung Airport,small_airport,22.939167,93.615333,6012.0
